"Marca temporal","Que edad tenés?","Vivís en Montevideo?","Practicás algún deporte? ","Seleccioná los deportes que jugás","Con qué frecuencia practicás/jugás?","Con qué frecuencia alquilás una cancha para hacerlo?","Si tenés que reservar una cancha, cuáles son los factores más importantes para elegirla?","Estarías dispuesto a usar una App para reservar canchas?","Qué funcionalidades no podrían faltar en una App para reserva de canchas?","Consideras que se genera un problema a la hora de pagar y dividir entre todos el costo de la cancha?","Cómo valorarías tener la posibilidad de pagar a través de la App y dividir tarifa con los demas jugadores?","Te gustaría poder jugar partidos contra desconocidos?"
"2023/04/19 3:23:12 p. m. GMT-3","entre 36 y 45","Sí","Sí","Handball","Varias veces por semana","Nunca","Ubicación;Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","Sí","4","No"
"2023/04/19 3:23:39 p. m. GMT-3","entre 36 y 45","Sí","Sí","Handball","1 o 2 veces al mes","1 o 2 veces al mes","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","No","5","Sí"
"2023/04/19 3:24:27 p. m. GMT-3","entre 15 y 25","Sí","Sí","Handball;Padel","Varias veces por semana","1 o 2 veces al mes","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Info de servicios adicionales disponibles;Filtros (ej. Disponibles hoy)","Sí","5","Sí"
"2023/04/19 3:24:34 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5","1 o 2 veces al mes","1 o 2 veces al mes","Precio;Ubicación;Disponibilidad","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","Sí","5","No"
"2023/04/19 3:25:43 p. m. GMT-3","entre 36 y 45","Sí","Sí","Handball","Varias veces por semana","Nunca","Precio;Ubicación;Calidad de la cancha","Sí","Info del precio;Agenda;Filtros (ej. Disponibles hoy)","No","5","No"
"2023/04/19 3:26:55 p. m. GMT-3","entre 15 y 25","Sí","Sí","Handball","Varias veces por semana","Nunca","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","No","5","Sí"
"2023/04/19 3:27:53 p. m. GMT-3","entre 15 y 25","No","Sí","Fútbol 5","Alguna vez al año","Alguna vez al año","Precio;Ubicación;Disponibilidad","Sí","Info del precio;Agenda;Info de servicios adicionales disponibles","Sí","3","Sí"
"2023/04/19 3:28:26 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5","Alguna vez al año","Alguna vez al año","Ubicación;Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Descuentos u ofertas","Sí","5","Sí"
"2023/04/19 3:29:48 p. m. GMT-3","entre 26 y 35","Sí","Sí","Hockey","Varias veces por semana","1 vez por semana","Precio;Ubicación;Disponibilidad","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","Sí","5","Sí"
"2023/04/19 3:30:15 p. m. GMT-3","entre 26 y 35","Sí","No","","","","","","","","",""
"2023/04/19 3:30:21 p. m. GMT-3","entre 26 y 35","Sí","No","","","","","","","","",""
"2023/04/19 3:30:52 p. m. GMT-3","entre 15 y 25","No","Sí","Fútbol 5;Fútbol 7 u 11","1 vez por semana","Nunca","""La de siempre""","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","No","1","No"
"2023/04/19 3:33:42 p. m. GMT-3","entre 15 y 25","No","No","","","","","","","","",""
"2023/04/19 3:37:04 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 7 u 11","1 o 2 veces al mes","Alguna vez al año","Ubicación;Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Agenda;Descuentos u ofertas;Filtros (ej. Disponibles hoy)","No","5","Sí"
"2023/04/19 3:37:11 p. m. GMT-3","entre 15 y 25","No","Sí","Handball","Alguna vez al año","Nunca","Precio;Ubicación;Disponibilidad","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","No","5","Sí"
"2023/04/19 3:39:44 p. m. GMT-3","entre 36 y 45","Sí","Sí","Handball","Varias veces por semana","1 o 2 veces al mes","Ubicación;Disponibilidad;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","No","3","No"
"2023/04/19 3:40:04 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Hockey","Varias veces por semana","Alguna vez al año","Ubicación","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","Sí","5","Sí"
"2023/04/19 3:40:50 p. m. GMT-3","entre 36 y 45","Sí","Sí","Fútbol 5","Alguna vez al año","Alguna vez al año","Precio;Ubicación;Disponibilidad","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","Sí","5","Sí"
"2023/04/19 3:41:08 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11","1 vez por semana","Alguna vez al año","Precio;Ubicación","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas","No","5","Sí"
"2023/04/19 3:41:49 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Tenis","1 vez por semana","1 vez por semana","Ubicación;Disponibilidad;""La de siempre""","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","Sí","4","No"
"2023/04/19 3:41:52 p. m. GMT-3","entre 15 y 25","No","Sí","Fútbol 5;Volleyball;Tenis de mesa","Alguna vez al año","Nunca","Precio;Ubicación;Calidad de la cancha","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","No","5","Sí"
"2023/04/19 3:42:10 p. m. GMT-3","entre 26 y 35","No","No","","","","","","","","",""
"2023/04/19 3:43:31 p. m. GMT-3","entre 15 y 25","No","Sí","Fútbol 5;Tenis de mesa","1 o 2 veces al mes","Nunca","Precio;Ubicación;Calidad de la cancha","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Filtros (ej. Disponibles hoy)","No","5","Sí"
"2023/04/19 3:45:11 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5","1 vez por semana","1 vez por semana","Ubicación;Calidad de la cancha;""La de siempre""","Sí","Mapa de canchas cercanas a mi ubicación;Agenda;Descuentos u ofertas","No","5","Sí"
"2023/04/19 3:49:59 p. m. GMT-3","entre 26 y 35","Sí","No","","","","","","","","",""
"2023/04/19 3:53:34 p. m. GMT-3","entre 26 y 35","No","Sí","Fútbol 5;Fútbol 7 u 11","1 o 2 veces al mes","1 o 2 veces al mes","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy);Cancelar reserva, pagos integrados, calendario de disponibilidad, comentarios de otros usuarios, compatir ubicación de la cancha, recordatorio de reserva, notificaciones push, descuentos por reserva anticipada, lista de espera si está ocupada la cancha, recompensas por usuarios frecuentes de una cancha, gestión de la reserva recurrente para repetir dia y hora, integración con wereables para distância recorrida y otra info, estadísticas y clasificaciones de los equipos rivales, notificaciones push","Sí","5","Sí"
"2023/04/19 3:55:10 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Volleyball;Padel","Varias veces por semana","Alguna vez al año","Ubicación;Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Descuentos u ofertas;Filtros (ej. Disponibles hoy)","Sí","4","No"
"2023/04/19 4:05:45 p. m. GMT-3","entre 26 y 35","Sí","Sí","Volleyball;Tenis","1 o 2 veces al mes","1 o 2 veces al mes","Precio;Ubicación;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","No","5","Sí"
"2023/04/19 4:07:38 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5","Alguna vez al año","Alguna vez al año","Ubicación;Disponibilidad;Calidad de la cancha","Sí","Info del precio;Agenda;Filtros (ej. Disponibles hoy)","Sí","5","No"
"2023/04/19 4:09:13 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Basketball","Alguna vez al año","Alguna vez al año","Precio;Ubicación","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","Sí","5","Sí"
"2023/04/19 4:12:48 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5","1 o 2 veces al mes","Alguna vez al año","Ubicación;Disponibilidad;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio","Sí","5","Sí"
"2023/04/19 4:29:05 p. m. GMT-3","entre 26 y 35","Sí","Sí","Handball","Varias veces por semana","Alguna vez al año","Precio;Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","Sí","5","Sí"
"2023/04/19 4:31:31 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5","1 vez por semana","1 vez por semana","Ubicación;Disponibilidad;Calidad de la cancha","No","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","No","1","No"
"2023/04/19 4:33:50 p. m. GMT-3","+46","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Padel","1 vez por semana","1 vez por semana","Precio;Ubicación;Disponibilidad","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","No","5","No"
"2023/04/19 4:43:19 p. m. GMT-3","entre 15 y 25","Sí","Sí","Handball","1 vez por semana","Nunca","Precio;Ubicación;Disponibilidad","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Descuentos u ofertas","No","3","No"
"2023/04/19 4:52:43 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Tenis;Padel","Varias veces por semana","1 vez por semana","Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas","Sí","5","Sí"
"2023/04/19 4:58:37 p. m. GMT-3","entre 15 y 25","No","No","","","","","","","","",""
"2023/04/19 5:02:08 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Basketball","1 vez por semana","1 o 2 veces al mes","Ubicación;Disponibilidad;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Descuentos u ofertas","Sí","5","No"
"2023/04/19 5:03:35 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11","1 o 2 veces al mes","1 o 2 veces al mes","Ubicación;Calidad de la cancha;Estacionamiento","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/19 5:05:12 p. m. GMT-3","entre 15 y 25","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Tenis","1 vez por semana","1 vez por semana","Ubicación;Disponibilidad;""La de siempre""","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","No","4","Sí"
"2023/04/19 5:08:26 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Volleyball;Tenis;Padel","1 o 2 veces al mes","Alguna vez al año","Ubicación;Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación","Sí","4","Sí"
"2023/04/19 5:12:00 p. m. GMT-3","entre 36 y 45","Sí","Sí","Fútbol 5;Basketball;running","Varias veces por semana","Nunca","Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles","No","5","No"
"2023/04/19 5:12:03 p. m. GMT-3","entre 15 y 25","No","Sí","Fútbol 5","Varias veces por semana","1 vez por semana","Ubicación;Disponibilidad;Fácil reserva","Sí","Info del precio;Agenda;Info de servicios adicionales disponibles;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","No","2","Sí"
"2023/04/19 5:15:47 p. m. GMT-3","entre 26 y 35","No","Sí","Fútbol 5;Fútbol 7 u 11;Handball","1 vez por semana","1 vez por semana","Precio;Ubicación;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","Sí","5","Sí"
"2023/04/19 5:17:55 p. m. GMT-3","entre 26 y 35","Sí","No","","","","","","","","",""
"2023/04/19 5:26:02 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 7 u 11;Padel","1 vez por semana","Alguna vez al año","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Info de servicios adicionales disponibles;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/19 5:55:24 p. m. GMT-3","entre 15 y 25","No","Sí","Handball","Varias veces por semana","Nunca","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","Sí","5","Sí"
"2023/04/19 6:05:59 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11","1 o 2 veces al mes","Nunca","Ubicación","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles","No","5","No"
"2023/04/19 6:14:33 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Tenis","1 o 2 veces al mes","1 o 2 veces al mes","Ubicación;Calidad de la cancha;Incluye pelota u otros elementos para el juego","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","No","4","No"
"2023/04/19 6:15:59 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Tenis","1 vez por semana","Alguna vez al año","Precio;Ubicación;Calidad de la cancha","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy);Fotos o estado de cancha ","Sí","4","Sí"
"2023/04/19 7:19:21 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11","Alguna vez al año","Alguna vez al año","Precio;Ubicación;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/20 8:31:52 a. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 7 u 11","1 vez por semana","Nunca","Ubicación;Fácil reserva;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/20 3:56:51 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Handball","1 vez por semana","Alguna vez al año","Precio;Fácil reserva;Incluye pelota u otros elementos para el juego","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/21 3:08:48 p. m. GMT-3","entre 36 y 45","No","Sí","Crossfit","Varias veces por semana","Nunca","Precio;Ubicación;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","Sí","5","Sí"
